Estación:       BAHIA DE KINO,  SON
Operada por:    SMN EMAS
Longitud:       111°08'13"  Latitud: 29°00'48"  Altitud: 

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RAD-SOL
02/02/2018 16:00       143       124      5.40     11.50      22.2        32    1001.9       0.0     196.5
02/02/2018 17:00        79        83      6.76     11.20      24.9        24    1002.3       0.0     224.0
02/02/2018 18:00       191       243      1.96     10.40      27.1        24    1002.2       0.0     317.8
02/02/2018 19:00       203       210      9.08     16.20      27.7        28    1001.4       0.0     320.3
02/02/2018 20:00       214       223      9.74     16.60      27.0        33    1000.5       0.0     256.7
02/02/2018 21:00       228       195      3.19     14.80      27.6        34     999.9       0.0     330.2
02/02/2018 22:00       278       293      5.45     12.60      28.0        32     999.3       0.0     273.3
02/02/2018 23:00       240       216      5.08      9.70      27.7        33     999.1       0.0     166.0
03/02/2018 00:00       151       237      1.80      7.90      26.6        35     999.1       0.0      48.7
03/02/2018 01:00       114       109      6.30     10.80      25.0        41     999.2       0.0       2.7
03/02/2018 02:00       110       106      7.12     13.70      23.7        46     999.5       0.0      -1.0
03/02/2018 03:00       204       303      0.62      9.00      22.5        49     999.8       0.0      -1.0
03/02/2018 04:00       205       186      4.23     12.60      20.9        54    1000.0       0.0      -1.0
03/02/2018 05:00       301       293      5.59      9.00      20.1        58    1000.2       0.0      -1.0
03/02/2018 06:00         7       175      1.27      9.40      18.6        62    1000.0       0.0      -1.0
03/02/2018 07:00        52        44      3.73      7.20      17.0        66     999.6       0.0      -1.0
03/02/2018 08:00        95        85      2.99      4.70      15.6        70     999.6       0.0      -1.0
03/02/2018 09:00       123       122      6.74     10.40      14.7        75     999.5       0.0      -1.0
03/02/2018 10:00        29       272      1.31      8.30      14.6        75     999.2       0.0      -1.0
03/02/2018 11:00        47        46      3.39      6.80      13.9        78     998.7       0.0      -1.0
03/02/2018 12:00        21        12      7.01     10.80      13.8        78     998.7       0.0      -1.0
03/02/2018 13:00        69        52      9.94     14.80      14.5        73     999.1       0.0      -1.0
03/02/2018 14:00        61        65      8.04     16.90      14.7        66     999.5       0.0      21.0
03/02/2018 15:00        85        99      3.71     12.60      18.1        54     999.8       0.0     169.3
03/02/2018 16:00        59        82      6.97     14.00      22.0        43     999.9       0.0     350.3
03/02/2018 17:00        59        28      3.91     11.50      25.6        37     999.8       0.0     535.3
03/02/2018 18:00       246       289      1.39      8.60      28.6        29     999.3       0.0     670.8
03/02/2018 19:00       176       170      4.69     13.30      30.2        25     998.3       0.0     747.5
03/02/2018 20:00       218       231     14.17     30.60      31.8        22     996.9       0.0     740.7
03/02/2018 21:00       226       195     18.45     31.00      31.5        25     995.9       0.0     641.3
03/02/2018 22:00       236       213     14.78     28.80      31.5        25     995.3       0.0     428.2
03/02/2018 23:00       227       204     14.42     25.60      30.9        26     994.9       0.0     289.5
04/02/2018 00:00       221       216     18.29     29.50      28.7        31     995.2       0.0      74.2
04/02/2018 01:00       228       224     12.20     25.90      26.1        34     995.8       0.0       2.3
04/02/2018 02:00       245       247     11.40     19.10      24.1        38     996.3       0.0      -1.0
04/02/2018 03:00       266       269     11.13     22.00      23.5        42     996.7       0.0      -1.0
04/02/2018 04:00       219       269      3.88      9.70      20.2        50     997.1       0.0      -1.0
04/02/2018 05:00       240       186      3.70      9.00      17.9        54     997.3       0.0      -1.0
04/02/2018 06:00       180       151      4.95     10.40      16.2        59     997.5       0.0      -1.0
04/02/2018 07:00       178       219      3.19      7.60      14.9        61     997.2       0.0      -1.0
04/02/2018 08:00       115       156      2.14      6.80      13.9        65     996.8       0.0      -1.0
04/02/2018 09:00       145       150      1.30      8.30      13.0        66     996.6       0.0      -1.0
04/02/2018 10:00       101        83      0.92      6.10      12.6        67     996.4       0.0      -1.0
04/02/2018 11:00       105        92      4.03      6.80      11.8        67     996.8       0.0      -1.0
04/02/2018 12:00       120       120      7.84     11.90      11.6        70     997.4       0.0      -1.0
04/02/2018 13:00        98        87      6.72     11.50      11.8        68     998.0       0.0      -1.0
